sample_name,RID,LID,FID,Data_location,Results_location
tb1052721,1,1,1,NA,NA
C2iw052721a,1,2,2,NA,NA
C2iw052721b,1,3,3,NA,NA
C2iw052721c,1,4,4,NA,NA
C5iw052721a,1,5,5,NA,NA
C5iw052721b,1,6,6,NA,NA
C5iw052721c,1,7,7,NA,NA
C8iw052721a,1,8,8,NA,NA
C8iw052721b,1,9,9,NA,NA
C8iw052721c,1,10,10,NA,NA
P18iw052721a,1,11,11,NA,NA
XB1052721,1,12,12,NA,NA
P18iw052721b,1,13,13,NA,NA
P15iw052721a,1,14,14,NA,NA
P15iw052721b,1,15,15,NA,NA
P15iw052721c,1,16,16,NA,NA
P12iw052721a,1,17,17,NA,NA
P12iw052127b,1,18,18,NA,NA
P12iw0521721c,1,19,19,NA,NA
F1iw052721a,1,20,20,NA,NA
F1iw052721b,1,21,21,NA,NA
XB2052721,1,22,22,NA,NA
F1iw052721c,1,23,23,NA,NA
tb4052721,1,24,24,NA,NA
P18ow052721a,1,25,25,NA,NA
P18ow052721b,1,26,26,NA,NA
P18ow052721c,1,27,27,NA,NA
P15ow052721a,1,28,28,NA,NA
P15ow052721b,1,29,29,NA,NA
P15ow052721c,1,30,30,NA,NA
P12ow052721a,1,31,31,NA,NA
P12ow052721b,1,32,32,NA,NA
P12ow052721c,1,33,33,NA,NA
XB3060221,1,34,34,NA,NA
C2ow052721a,1,35,35,NA,NA
C2ow052721b,1,36,36,NA,NA
C2ow052721c,1,37,37,NA,NA
C5ow052721a,1,38,38,NA,NA
C5ow052721b,1,39,39,NA,NA
C5ow052721c,1,40,40,NA,NA
C8ow052721a,1,41,41,NA,NA
C8ow052721b,1,42,42,NA,NA
C8ow052721c,1,43,43,NA,NA
tb3052721,1,44,44,NA,NA
XB4060421,1,45,45,NA,NA
XB5060421,1,46,46,NA,NA
tb1052721,2,47,1,NA,NA
C2iw052721a,2,48,2,NA,NA
C2iw052721b,2,49,3,NA,NA
C2iw052721c,2,50,4,NA,NA
C5iw052721a,2,51,5,NA,NA
C5iw052721b,2,52,6,NA,NA
C5iw052721c,2,53,7,NA,NA
C8iw052721a,2,54,8,NA,NA
C8iw052721b,2,55,9,NA,NA
C8iw052721c,2,56,10,NA,NA
P18iw052721a,2,57,11,NA,NA
XB1052721,2,58,12,NA,NA
P18iw052721b,2,59,13,NA,NA
P15iw052721a,2,60,14,NA,NA
P15iw052721b,2,61,15,NA,NA
P15iw052721c,2,62,16,NA,NA
P12iw052721a,2,63,17,NA,NA
P12iw052127b,2,64,18,NA,NA
P12iw0521721c,2,65,19,NA,NA
F1iw052721a,2,66,20,NA,NA
F1iw052721b,2,67,21,NA,NA
XB2052721,2,68,22,NA,NA
F1iw052721c,2,69,23,NA,NA
tb4052721,2,70,24,NA,NA
P18ow052721a,2,71,25,NA,NA
P18ow052721b,2,72,26,NA,NA
P18ow052721c,2,73,27,NA,NA
P15ow052721a,2,74,28,NA,NA
P15ow052721b,2,75,29,NA,NA
P15ow052721c,2,76,30,NA,NA
P12ow052721a,2,77,31,NA,NA
P12ow052721b,2,78,32,NA,NA
P12ow052721c,2,79,33,NA,NA
XB3060221,2,80,34,NA,NA
C2ow052721a,2,81,35,NA,NA
C2ow052721b,2,82,36,NA,NA
C2ow052721c,2,83,37,NA,NA
C5ow052721a,2,84,38,NA,NA
C5ow052721b,2,85,39,NA,NA
C5ow052721c,2,86,40,NA,NA
C8ow052721a,2,87,41,NA,NA
C8ow052721b,2,88,42,NA,NA
C8ow052721c,2,89,43,NA,NA
tb3052721,2,90,44,NA,NA
XB4060421,2,91,45,NA,NA
XB5060421,2,92,46,NA,NA
MUAPs051221a2,3,93,47,NA,NA
MUAPs051221a3,3,94,48,NA,NA
MUAPs051221b1,3,95,49,NA,NA
MUAPs051221b2,3,96,50,NA,NA
MUAPs051221b3,3,97,51,NA,NA
SEAPs051221a1,3,98,52,NA,NA
SEAPs051221b1,3,99,53,NA,NA
SEAPs051221b2,3,100,54,NA,NA
SEAPs051221b3,3,101,55,NA,NA
OYAPs051221a1,3,102,56,NA,NA