sample,date,Preservation,Extraction
OYS7Aw072021a,72021,Frozen,Qiacube
OYS7Aw072021b,72021,Frozen,Qiacube
OYS7Aw072021c,72021,Frozen,Qiacube
OYS7Aw072021f,72021,Frozen,Kingfisher
OYS7Aw072021g,72021,Frozen,Kingfisher
OYS7Aw072021h,72021,Frozen,Kingfisher
OYS7Aw072021i,72021,Frozen,Kingfisher
OYS7Aw072021j,72021,Frozen,Kingfisher
OYS7Aw072021f2,72021,Frozen,Sanchez
OYS7Aw072021g2,72021,Frozen,Sanchez
OYS7Aw072021h2,72021,Frozen,Sanchez
OYS7Aw072021i2,72021,Frozen,Sanchez
OYS7Aw072021j2,72021,Frozen,Sanchez
OR70323221a,32322,Frozen,Qiacube
OR70323221b,32322,Frozen,Qiacube
OR70323222a,32322,Frozen,Qiacube
OR70323222b,32322,Frozen,Qiacube
OR70323223a,32322,Frozen,Qiacube
OR70323223b,32322,Frozen,Qiacube
OR70323224a,32322,Frozen,Qiacube
OR70323224b,32322,Frozen,Qiacube
OR70323221aB,32322,Longmire,Qiacube
OR70323222aB,32322,Longmire,Qiacube
OR70323222bB,32322,Longmire,Qiacube
OR70323221bB,32322,Longmire,Qiacube
KFLM1,71621,Longmire,Kingfisher
KFLM2,71621,Longmire,Kingfisher
KFLM3,71621,Longmire,Kingfisher
KFLM5,71621,Longmire,Kingfisher
KFLM6,71621,Longmire,Kingfisher
KFLMBUFFER,71621,Longmire,Kingfisher
KFOR7_214,71621,Frozen,Kingfisher
KFOR7_215,71621,Frozen,Kingfisher
KFOR7_216,71621,Frozen,Kingfisher
SLM1,71621,Longmire,Sanchez
SLM2,71621,Longmire,Sanchez
SLM3,71621,Longmire,Sanchez
SLM4,71621,Longmire,Sanchez
SLM5,71621,Longmire,Sanchez
SLM6,71621,Longmire,Sanchez
SOR7_217.1,71621,Frozen,Sanchez
SOR7_217.2,71621,Frozen,Sanchez
SOR7_217.3,71621,Frozen,Sanchez
OR7w041222Ba1,41222,Longmire,Qiacube BS
OR7w041222Ba2,41222,Longmire,Qiacube BS
OR7w041222Bb1,41222,Longmire,Qiacube BS
OR7w041222Bb2,41222,Longmire,Qiacube BS
OR7w041222Bc1,41222,Longmire,Qiacube BS
OR7w041222Bc2,41222,Longmire,Qiacube BS
OR7w041222Bd1,41222,Longmire,Qiacube BS
OR7w041222Bd2,41222,Longmire,Qiacube BS
OR7w041222Be1,41222,Longmire,Qiacube BS
OR7w041222Be2,41222,Longmire,Qiacube BS
OR7w041222Bf1,41222,Longmire,Qiacube PS
OR7w041222Bf2,41222,Longmire,Qiacube PS
OR7w041222Bg1,41222,Longmire,Qiacube PS
OR7w041222Bg2,41222,Longmire,Qiacube PS
OR7w041222Bh1,41222,Longmire,Qiacube PS
OR7w041222Bi1,41222,Longmire,Qiacube PS
OR7w041222Bi2,41222,Longmire,Qiacube PS
OR7w041222Bj1,41222,Longmire,Qiacube PS
OR7w041222Bj2,41222,Longmire,Qiacube PS
OR7w041222Fa1,41222,Frozen,Qiacube PS
OR7w041222Fa2,41222,Frozen,Qiacube PS
OR7w041222Fb1,41222,Frozen,Qiacube PS
OR7w041222Fb2,41222,Frozen,Qiacube PS